TRA05,SEXEP,SUTOT,CHAFF,TAXES
7,1,5,175747,0
10,1,14,600908,0
11,1,22,135448.15,0
7,1,2,104390,0
9,1,25,546646.59,50
10,1,2,138821,83
7,1,1,135689.75,0
10,1,9,148976.5,0
8,1,5,111309,521
13,2,4,471414,3298
5,1,2,312668,81
8,1,11,589639,0
3,1,2,55702.25,0
8,1,8,230298.5,0
8,1,16,122180,0
7,1,4,214696,0
9,1,16,93744.87,54
10,1,19,179903.63,0
9,1,18,120111.16,106.92
8,1,15,245732.31,450
9,1,9,267368,587
8,1,23,315604,0
9,1,23,260729,0
9,1,17,323130,1510
8,1,24,284853,0
4,1,23,591257,23
8,1,15,385768,0
9,1,30,746136.41,33
9,2,26,162244.47,0
9,1,20,158629.85,0
6,1,25,152051,34
9,1,26,254383,0
2,1,11,489432,0
5,1,27,595977,0
9,1,26,296009,0
10,1,22,284844,0
7,1,20,232220.4,0
9,1,21,161281.03,0
9,1,2,1037170,0
7,1,1,48155,0
8,1,11,125998,26
11,1,17,293686,1755
7,1,26,730156,0
9,1,15,98443,471
10,1,11,70264,43
9,1,26,322038.08,0
9,1,2,21371.3,654
10,1,6,131434.77,2004
8,1,13,209548.76,0
7,1,26,136496.29,0
10,1,22,115160,0
11,2,19,38581.84,786
8,1,22,10403.83,913
10,1,6,133348.43,0
8,1,26,377521,412
8,1,20,270989,146
7,1,27,228659.78,0
7,1,26,146529,0
5,1,21,415920.86,120
11,1,30,425057,0
9,1,14,107130.57,0
9,1,27,120817,0
10,1,26,236875,0
10,1,25,257573,1427
7,1,14,74709.24,207.72
10,1,28,551808,0
8,1,27,320992,0
9,1,26,159394,0
8,1,24,355268.94,0
9,1,4,976699,0
9,1,2,32321,0
10,1,22,234646,391
8,1,11,395924.42,0
6,1,6,109812,0
7,1,11,32791.29,1095
7,1,8,65763,2534
7,1,14,940065.27,17
8,1,23,408256.7,0
9,1,16,505635,1478
9,1,6,129331,321
9,1,28,281080.9,2950
7,1,20,79857.36,1364
5,1,17,380162.99,76
10,1,11,36200,1148
8,1,23,223583,0
8,1,21,152909,1512
9,1,14,262043,0
10,1,13,140177.23,0
5,1,10,179265.72,0
8,2,9,38597,0
9,1,10,936833,170
6,1,4,76490,0
9,1,7,537493,468
9,1,8,302006.25,0
9,1,12,22766,1413
8,1,22,395524,0
9,1,17,898586,4051
8,2,15,156816,1863
7,2,21,232889.24,0
10,1,17,159845,60
9,1,19,187720.83,0
